t_resolution                            - 0.01
accuracy                                - 3

u                                       - 150.0
density                                 - 1.225
C                                       - 1.47
r                                       - 0.0213
start_angle                             - 45.0
start_height                            - 1.0
m                                       - 2.0
g_acceleration                          - -9.8

t	s	v	angle	v_vertical	v_horizontal	s_vertical	s_horizontal	air_resistance	air_resistance_vertical	air_resistance_horizontal	acceleration_vertical	acceleration_horizontal
0	1.0	150.0	45.0	106.05	106.05	0.0	0.0	-	-	-	-	-
0.01	2.061	149.764	44.973	105.85	105.948	1.06	1.06	-28.875	-20.414	-20.414	-20.007	-10.207
0.02	3.12	149.528	44.973	105.683	105.781	2.119	2.119	-28.784	-20.35	-20.35	-19.975	-10.175
0.03	4.177	149.293	44.973	105.517	105.615	3.176	3.176	-28.693	-20.286	-20.286	-19.943	-10.143
0.04	5.233	149.058	44.973	105.351	105.449	4.232	4.232	-28.603	-20.222	-20.222	-19.911	-10.111
0.05	6.287	148.824	44.973	105.185	105.283	5.286	5.286	-28.513	-20.159	-20.159	-19.879	-10.079
0.06	7.339	148.59	44.973	105.02	105.118	6.338	6.338	-28.424	-20.095	-20.095	-19.848	-10.048
0.07	8.39	148.357	44.973	104.855	104.953	7.389	7.389	-28.334	-20.032	-20.032	-19.816	-10.016
0.08	9.439	148.124	44.973	104.691	104.789	8.438	8.438	-28.245	-19.97	-19.97	-19.785	-9.985
0.09	10.486	147.892	44.973	104.526	104.624	9.485	9.485	-28.157	-19.907	-19.907	-19.753	-9.953
0.1	11.532	147.66	44.973	104.362	104.46	10.531	10.531	-28.069	-19.845	-19.845	-19.722	-9.922
0.11	12.576	147.429	44.973	104.199	104.297	11.575	11.575	-27.981	-19.782	-19.782	-19.691	-9.891
0.12	13.618	147.198	44.973	104.036	104.134	12.617	12.617	-27.893	-19.72	-19.72	-19.66	-9.86
0.13	14.659	146.967	44.973	103.873	103.971	13.658	13.658	-27.806	-19.659	-19.659	-19.629	-9.829
0.14	15.698	146.737	44.973	103.71	103.808	14.697	14.697	-27.719	-19.597	-19.597	-19.599	-9.799
0.15	16.735	146.507	44.973	103.547	103.645	15.734	15.734	-27.632	-19.536	-19.536	-19.568	-9.768
0.16	17.771	146.278	44.973	103.385	103.483	16.77	16.77	-27.545	-19.475	-19.475	-19.537	-9.737
0.17	18.805	146.049	44.973	103.223	103.321	17.804	17.804	-27.459	-19.414	-19.414	-19.507	-9.707
0.18	19.838	145.821	44.973	103.062	103.16	18.837	18.837	-27.373	-19.353	-19.353	-19.477	-9.677
0.19	20.869	145.593	44.973	102.901	102.999	19.868	19.868	-27.288	-19.293	-19.293	-19.446	-9.646
0.2	21.898	145.366	44.973	102.74	102.838	20.897	20.897	-27.203	-19.232	-19.232	-19.416	-9.616
0.21	22.926	145.139	44.973	102.58	102.678	21.925	21.925	-27.118	-19.172	-19.172	-19.386	-9.586
0.22	23.952	144.913	44.973	102.42	102.518	22.951	22.951	-27.033	-19.113	-19.113	-19.356	-9.556
0.23	24.977	144.687	44.973	102.26	102.358	23.976	23.976	-26.949	-19.053	-19.053	-19.327	-9.527
0.24	26.0	144.462	44.973	102.101	102.199	24.999	24.999	-26.865	-18.994	-18.994	-19.297	-9.497
0.25	27.021	144.237	44.972	101.942	102.04	26.02	26.02	-26.782	-18.935	-18.935	-19.267	-9.467
0.26	28.041	144.012	44.972	101.783	101.881	27.04	27.04	-26.698	-18.876	-18.876	-19.238	-9.438
0.27	29.059	143.788	44.972	101.624	101.722	28.058	28.058	-26.615	-18.817	-18.817	-19.208	-9.408
0.28	30.076	143.564	44.972	101.466	101.564	29.075	29.075	-26.532	-18.758	-18.758	-19.179	-9.379
0.29	31.091	143.341	44.972	101.308	101.406	30.09	30.09	-26.45	-18.7	-18.7	-19.15	-9.35
0.3	32.104	143.118	44.972	101.151	101.249	31.103	31.103	-26.368	-18.642	-18.642	-19.121	-9.321
0.31	33.116	142.896	44.972	100.994	101.092	32.115	32.115	-26.286	-18.584	-18.584	-19.092	-9.292
0.32	34.126	142.674	44.972	100.837	100.935	33.125	33.125	-26.204	-18.526	-18.526	-19.063	-9.263
0.33	35.135	142.453	44.972	100.68	100.778	34.134	34.134	-26.123	-18.469	-18.469	-19.034	-9.234
0.34	36.142	142.232	44.972	100.524	100.622	35.141	35.141	-26.042	-18.412	-18.412	-19.006	-9.206
0.35	37.148	142.011	44.972	100.368	100.466	36.147	36.147	-25.961	-18.355	-18.355	-18.977	-9.177
0.36	38.152	141.791	44.972	100.212	100.31	37.151	37.151	-25.881	-18.298	-18.298	-18.949	-9.149
0.37	39.154	141.571	44.972	100.057	100.155	38.153	38.153	-25.801	-18.241	-18.241	-18.921	-9.121
0.38	40.155	141.352	44.972	99.902	100.0	39.154	39.154	-25.721	-18.184	-18.184	-18.892	-9.092
0.39	41.154	141.133	44.972	99.747	99.845	40.153	40.153	-25.641	-18.128	-18.128	-18.864	-9.064
0.4	42.152	140.915	44.972	99.593	99.691	41.151	41.151	-25.562	-18.072	-18.072	-18.836	-9.036
0.41	43.148	140.697	44.972	99.439	99.537	42.147	42.147	-25.483	-18.016	-18.016	-18.808	-9.008
